fecha,comprobante,codigo_puc,nombre_cuenta,nit_tercero,nombre_tercero,detalle,debito,credito,centro_costo
2026-01-01,FC-0001,143530,Mercancias no fabricadas por la empresa,890900608,ALIMENTOS NACIONALES S.A.,Compra mercancia FE18336,3568000.0,0.0,OPE
2026-01-01,FC-0001,240810,IVA descontable,890900608,ALIMENTOS NACIONALES S.A.,IVA descontable 19%,677920.0,0.0,OPE
2026-01-01,FC-0001,236540,Retencion en la fuente por pagar,890900608,ALIMENTOS NACIONALES S.A.,Retefuente compras 2.5%,0.0,89200.0,OPE
2026-01-01,FC-0001,236805,Impuesto de industria y comercio retenido,890900608,ALIMENTOS NACIONALES S.A.,ReteICA 9.66x1000,0.0,34466.88,OPE
2026-01-01,FC-0001,220505,Proveedores nacionales,890900608,ALIMENTOS NACIONALES S.A.,Factura FE18336,0.0,4122253.12,OPE
2026-01-01,FV-0001,130505,Clientes nacionales,901998877,TIENDAS LA ESQUINA S.A.S.,Venta de mercancia,2952390.0,0.0,VTA
2026-01-01,FV-0001,413595,Comercio al por mayor y menor,901998877,TIENDAS LA ESQUINA S.A.S.,Venta de mercancia,0.0,2481000.0,VTA
2026-01-01,FV-0001,240805,IVA generado,901998877,TIENDAS LA ESQUINA S.A.S.,IVA generado 19%,0.0,471390.0,VTA
2026-01-01,FV-0001,613595,Costo de venta de mercancias,901998877,TIENDAS LA ESQUINA S.A.S.,Costo de la venta,1658330.12,0.0,VTA
2026-01-01,FV-0001,143530,Mercancias no fabricadas por la empresa,901998877,TIENDAS LA ESQUINA S.A.S.,Salida de inventario,0.0,1658330.12,VTA
2026-01-01,RC-0001,111005,Banco Bogota cta corriente 123-456,901234567,SUPERMERCADOS DEL LLANO S.A.S.,Recaudo cliente,8581000.0,0.0,ADM
2026-01-01,RC-0001,130505,Clientes nacionales,901234567,SUPERMERCADOS DEL LLANO S.A.S.,Abono cartera,0.0,8581000.0,ADM
2026-01-01,RC-0002,111005,Banco Bogota cta corriente 123-456,901556677,COMERCIAL YOPAL SAS,Recaudo cliente,2759000.0,0.0,ADM
2026-01-01,RC-0002,130505,Clientes nacionales,901556677,COMERCIAL YOPAL SAS,Abono cartera,0.0,2759000.0,ADM
2026-01-02,FC-0002,143530,Mercancias no fabricadas por la empresa,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,Compra mercancia FE88577,1763000.0,0.0,OPE
2026-01-02,FC-0002,240810,IVA descontable,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,IVA descontable 19%,334970.0,0.0,OPE
2026-01-02,FC-0002,236540,Retencion en la fuente por pagar,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,Retefuente compras 2.5%,0.0,44075.0,OPE
2026-01-02,FC-0002,236805,Impuesto de industria y comercio retenido,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,ReteICA 9.66x1000,0.0,17030.58,OPE
2026-01-02,FC-0002,220505,Proveedores nacionales,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,Factura FE88577,0.0,2036864.42,OPE
2026-01-02,FV-0002,130505,Clientes nacionales,901556677,COMERCIAL YOPAL SAS,Venta de mercancia,8885719.94,0.0,VTA
2026-01-02,FV-0002,135515,Retencion en la fuente a favor,901556677,COMERCIAL YOPAL SAS,Retefuente que nos practican,192275.0,0.0,VTA
2026-01-02,FV-0002,135517,Retencion de ICA a favor,901556677,COMERCIAL YOPAL SAS,ReteICA que nos practican,74295.06,0.0,VTA
