fecha,descripcion,referencia,valor,saldo
2026-01-01,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0001,8581000.0,193581000.0
2026-01-01,CONSIGNACION COMERCIAL YOPAL SAS,RC-0002,2759000.0,196340000.0
2026-01-05,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0003,2717000.0,199057000.0
2026-01-06,CONSIGNACION COMERCIAL YOPAL SAS,RC-0004,8008000.0,207065000.0
2026-01-07,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0005,5208000.0,212273000.0
2026-01-07,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0006,7485000.0,219758000.0
2026-01-08,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0007,2119000.0,221877000.0
2026-01-09,PAGO PAPELERIA CENTRAL SAS,CE-0002,-6456000.0,215421000.0
2026-01-09,GMF 4X1000,GMF,-25824.0,215395176.0
2026-01-09,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0008,3979000.0,219374176.0
2026-01-09,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0009,5363000.0,224737176.0
2026-01-12,PAGO EMPAQUES Y PLASTICOS LTDA,CE-0003,-5011000.0,219726176.0
2026-01-12,GMF 4X1000,GMF,-20044.0,219706132.0
2026-01-12,CONSIGNACION COMERCIAL YOPAL SAS,RC-0010,2548000.0,222254132.0
2026-01-12,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0011,5970000.0,228224132.0
2026-01-13,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0012,6969000.0,235193132.0
2026-01-13,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0013,2075000.0,237268132.0
2026-01-14,PAGO ALIMENTOS NACIONALES S.A.,CE-0004,-4805000.0,232463132.0
2026-01-14,GMF 4X1000,GMF,-19220.0,232443912.0
2026-01-14,CONSIGNACION COMERCIAL YOPAL SAS,RC-0014,1500000.0,233943912.0
2026-01-14,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0015,3296000.0,237239912.0
2026-01-15,PAGO EMPAQUES Y PLASTICOS LTDA,CE-0005,-4392000.0,232847912.0
2026-01-15,GMF 4X1000,GMF,-17568.0,232830344.0
2026-01-15,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0016,2140000.0,234970344.0
2026-01-16,PAGO ALIMENTOS NACIONALES S.A.,CE-0006,-5619000.0,229351344.0
2026-01-16,GMF 4X1000,GMF,-22476.0,229328868.0
2026-01-16,CONSIGNACION COMERCIAL YOPAL SAS,RC-0017,6676000.0,236004868.0
2026-01-19,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0018,4746000.0,240750868.0
2026-01-20,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0007,-933000.0,239817868.0
2026-01-20,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0028,-319000.0,239498868.0
2026-01-20,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0030,-376000.0,239122868.0
2026-01-20,GMF 4X1000,GMF,-1504.0,239121364.0
2026-01-20,GMF 4X1000,GMF,-3732.0,239117632.0
2026-01-20,GMF 4X1000,GMF,-1276.0,239116356.0
2026-01-22,PAGO ALIMENTOS NACIONALES S.A.,CE-0008,-5137000.0,233979356.0
2026-01-22,GMF 4X1000,GMF,-20548.0,233958808.0
2026-01-22,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0019,7155000.0,241113808.0
2026-01-22,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0020,6569000.0,247682808.0
2026-01-26,PAGO EMPAQUES Y PLASTICOS LTDA,CE-0009,-5070000.0,242612808.0
2026-01-26,GMF 4X1000,GMF,-20280.0,242592528.0
2026-01-26,CONSIGNACION COMERCIAL YOPAL SAS,RC-0021,5011000.0,247603528.0
2026-01-27,PAGO PAPELERIA CENTRAL SAS,CE-0010,-6823000.0,240780528.0
2026-01-27,GMF 4X1000,GMF,-27292.0,240753236.0
2026-01-27,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0023,5215000.0,245968236.0
2026-01-28,COMISION MANEJO CUENTA,COM,-35000.0,245933236.0
2026-01-28,CONSIGNACION COMERCIAL YOPAL SAS,RC-0024,1753000.0,247686236.0
2026-01-28,RENDIMIENTOS FINANCIEROS,REND,222000.0,247908236.0
2026-01-29,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0011,-2162000.0,245746236.0
2026-01-29,GMF 4X1000,GMF,-8648.0,245737588.0
2026-01-29,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0022,3462000.0,249199588.0
2026-01-29,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0025,2269000.0,251468588.0
2026-01-30,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0026,6855000.0,258323588.0
2026-02-02,PAGO LOGISTICA ANDINA S.A.S.,CE-0012,-2576000.0,255747588.0
2026-02-02,GMF 4X1000,GMF,-10304.0,255737284.0
2026-02-02,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0027,4857000.0,260594284.0
2026-02-02,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0028,1476000.0,262070284.0
2026-02-04,CONSIGNACION COMERCIAL YOPAL SAS,RC-0029,7912000.0,269982284.0
2026-02-05,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0030,3693000.0,273675284.0
2026-02-05,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0031,2341000.0,276016284.0
2026-02-06,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0033,4463000.0,280479284.0
2026-02-09,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0034,2633000.0,283112284.0
2026-02-09,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0035,2975000.0,286087284.0
2026-02-11,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0036,2742000.0,288829284.0
2026-02-12,PAGO LOGISTICA ANDINA S.A.S.,CE-0014,-6958000.0,281871284.0
2026-02-12,GMF 4X1000,GMF,-27832.0,281843452.0
2026-02-12,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0038,6907000.0,288750452.0
2026-02-12,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0039,4763000.0,293513452.0
2026-02-13,PAGO ALIMENTOS NACIONALES S.A.,CE-0013,-2801000.0,290712452.0
2026-02-13,GMF 4X1000,GMF,-11204.0,290701248.0
2026-02-13,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0040,8933000.0,299634248.0
2026-02-16,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0041,8660000.0,308294248.0
2026-02-17,NOTA DEBITO CHEQUE DEVUELTO,ND-0001,-4800000.0,303494248.0
2026-02-17,CONSIGNACION COMERCIAL YOPAL SAS,RC-0042,4946000.0,308440248.0
2026-02-17,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0043,8198000.0,316638248.0
2026-02-18,PAGO EMPAQUES Y PLASTICOS LTDA,CE-0015,-1097000.0,315541248.0
2026-02-18,GMF 4X1000,GMF,-4388.0,315536860.0
2026-02-19,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0016,-1747000.0,313789860.0
2026-02-19,GMF 4X1000,GMF,-6988.0,313782872.0
2026-02-19,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0044,1949000.0,315731872.0
2026-02-19,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0045,3899000.0,319630872.0
2026-02-20,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0031,-1065000.0,318565872.0
2026-02-20,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0032,-1070000.0,317495872.0
2026-02-20,GMF 4X1000,GMF,-4260.0,317491612.0
2026-02-20,GMF 4X1000,GMF,-4280.0,317487332.0
2026-02-20,CONSIGNACION COMERCIAL YOPAL SAS,RC-0046,6635000.0,324122332.0
2026-02-20,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0047,1943000.0,326065332.0
2026-02-22,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0033,-433000.0,325632332.0
2026-02-22,GMF 4X1000,GMF,-1732.0,325630600.0
2026-02-24,PAGO PAPELERIA CENTRAL SAS,CE-0017,-5022000.0,320608600.0
2026-02-24,GMF 4X1000,GMF,-20088.0,320588512.0
2026-02-25,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0049,1249000.0,321837512.0
2026-02-26,PAGO EMPAQUES Y PLASTICOS LTDA,CE-0018,-6128000.0,315709512.0
2026-02-26,GMF 4X1000,GMF,-24512.0,315685000.0
2026-02-26,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0050,6309000.0,321994000.0
2026-02-26,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0051,3352000.0,325346000.0
2026-02-27,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0048,2550000.0,327896000.0
2026-02-27,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0052,4262000.0,332158000.0
2026-02-27,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0053,4904000.0,337062000.0
2026-02-28,COMISION MANEJO CUENTA,COM,-35000.0,337027000.0
2026-02-28,RENDIMIENTOS FINANCIEROS,REND,169000.0,337196000.0
2026-03-02,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0054,8264000.0,345460000.0
2026-03-02,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0055,7885000.0,353345000.0
2026-03-03,PAGO EMPAQUES Y PLASTICOS LTDA,CE-0019,-6140000.0,347205000.0
2026-03-03,GMF 4X1000,GMF,-24560.0,347180440.0
2026-03-03,CONSIGNACION MAYORISTA CASANARE S.A.S.,RC-0056,2130000.0,349310440.0
2026-03-04,PAGO EMPAQUES Y PLASTICOS LTDA,CE-0020,-859000.0,348451440.0
2026-03-04,GMF 4X1000,GMF,-3436.0,348448004.0
2026-03-05,PAGO ALIMENTOS NACIONALES S.A.,CE-0021,-4661000.0,343787004.0
