numero_factura,fecha_factura,nit_proveedor,proveedor,concepto,base_gravable,iva,retefuente,reteica,neto_a_pagar,estado
FE14812,09/03/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,2548000,484120.0,63700.0,24613.68,2943806.32,PENDIENTE
FE92966,03/02/2026,811004321,PAPELERIA CENTRAL SAS,Compra de mercancia,6055000,1150450.0,151375.0,58491.3,6995583.7,PENDIENTE
FE37423,16/02/2026,890900608,ALIMENTOS NACIONALES S.A.,Compra de mercancia,6887000,1308530.0,172175.0,66528.42,7956826.58,PENDIENTE
FE77147,12/03/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,2741000,520790.0,68525.0,26478.06,3166786.94,PENDIENTE
FE62591,30/01/2026,811004321,PAPELERIA CENTRAL SAS,Compra de mercancia,5687000,1080530.0,142175.0,54936.42,6570418.58,
FE94964,05/02/2026,811004321,  PAPELERIA CENTRAL SAS  ,Compra de mercancia,3384000,642960.0,84600.0,32689.44,3909670.56,PENDIENTE
FE77147,12/03/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,2741000,520790.0,68525.0,26478.06,3166786.94,PENDIENTE
FE26152,29/01/2026,860002964,EMPAQUES Y PLASTICOS LTDA,Compra de mercancia,5098000,968620.0,127450.0,49246.68,5889923.32,PENDIENTE
FE94875,08/01/2026,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,Compra de mercancia,2969000,564110.0,74225.0,28680.54,3430204.46,PAGADA
FE52598,15/01/2026,860002964,EMPAQUES Y PLASTICOS LTDA,Compra de mercancia,1879000,357010.0,46975.0,18151.14,2170883.86,PENDIENTE
FE69760,12/01/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,6099000,1158810.0,152475.0,58916.34,7046418.66,PENDIENTE
FE82822,09/01/2026,811004321,  PAPELERIA CENTRAL SAS  ,Compra de mercancia,1490000,283100.0,37250.0,14393.4,1721456.6,PENDIENTE
FE15829,03/03/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,3936000,747840.0,98400.0,38021.76,4547418.24,PAGADA
FE21516,13/01/2026,890900608,ALIMENTOS NACIONALES S.A.,Compra de mercancia,6881000,1307390.0,172025.0,66470.46,7949894.54,PENDIENTE
FE57996,10/03/2026,890900608,ALIMENTOS NACIONALES S.A.,Compra de mercancia,4437000,843030.0,110925.0,42861.42,5126243.58,PENDIENTE
FE44924,27/01/2026,890900608,ALIMENTOS NACIONALES S.A.,Compra de mercancia,3121000,592990.0,78025.0,30148.86,3605816.14,PENDIENTE
FE96120,16/01/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,3143000,597170.0,78575.0,30361.38,3631233.62,PENDIENTE
FE96230,05/03/2026,860002964,EMPAQUES Y PLASTICOS LTDA,Compra de mercancia,4356000,827640.0,108900.0,42078.96,5032661.04,PENDIENTE
FE32671,06/02/2026,811004321,PAPELERIA CENTRAL SAS,Compra de mercancia,6434000,1222460.0,160850.0,62152.44,7433457.56,PAGADA
FE88577,02/01/2026,900777888,servicios integrales del oriente sas,Compra de mercancia,1763000,334970.0,44075.0,17030.58,2036864.42,PENDIENTE
FE25838,12/02/2026,860002964,EMPAQUES Y PLASTICOS LTDA,Compra de mercancia,5712000,1085280.0,142800.0,55177.92,6599302.08,PENDIENTE
FE58422,17/02/2026,900777888,servicios integrales del oriente sas,Compra de mercancia,5662000,1075780.0,141550.0,54694.92,6541535.08,PAGADA
FE89509,06/03/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,3103000,589570.0,77575.0,29974.98,3585020.02,PENDIENTE
FE78228,31/03/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,4825000,916750.0,120625.0,46609.5,5574515.5,PENDIENTE
FE54400,11/02/2026,811004321,PAPELERIA CENTRAL SAS,Compra de mercancia,4456000,846640.0,111400.0,43044.96,5148195.04,PAGADA
FE32671,06/02/2026,811004321,PAPELERIA CENTRAL SAS,Compra de mercancia,6434000,1222460.0,160850.0,62152.44,7433457.56,PAGADA
FE18336,01/01/2026,890900608,ALIMENTOS NACIONALES S.A.,Compra de mercancia,3568000,677920.0,89200.0,34466.88,4122253.12,PENDIENTE
FE17102,13/03/2026,860002964,empaques y plasticos ltda,Compra de mercancia,5265000,1000350.0,131625.0,50859.9,6082865.1,PENDIENTE
FE53779,09/02/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,1569000,298110.0,39225.0,15156.54,1812728.46,PENDIENTE
FE26722,26/01/2026,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,Compra de mercancia,5880000,1117200.0,147000.0,56800.8,6793399.2,PENDIENTE
FE70687,19/01/2026,860002964,EMPAQUES Y PLASTICOS LTDA,Compra de mercancia,2109000,400710.0,52725.0,20372.94,2436612.06,
FE94875,08/01/2026,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,Compra de mercancia,2969000,564110.0,74225.0,28680.54,3430204.46,PAGADA
FE45150,28/01/2026,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,Compra de mercancia,5635000,1070650.0,140875.0,54434.1,6510340.9,PAGADA
FE73512,05/01/2026,890900608,alimentos nacionales s.a.,Compra de mercancia,3172000,602680.0,79300.0,30641.52,3664738.48,PAGADA
FE50559,24/02/2026,860002964,  EMPAQUES Y PLASTICOS LTDA  ,Compra de mercancia,6279000,1193010.0,156975.0,60655.14,7254379.86,PAGADA
FE33745,26/03/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,3449000,655310.0,86225.0,33317.34,3984767.66,PAGADA
FE30424,19/02/2026,890900608,ALIMENTOS NACIONALES S.A.,Compra de mercancia,1283000,243770.0,32075.0,12393.78,1482301.22,PENDIENTE
FE49138,19/03/2026,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,Compra de mercancia,6773000,1286870.0,169325.0,65427.18,7825117.82,PENDIENTE
FE63694,02/02/2026,900321654,LOGISTICA ANDINA S.A.S.,Compra de mercancia,6022000,1144180.0,150550.0,58172.52,6957457.48,PENDIENTE
FE37902,23/01/2026,900777888,SERVICIOS INTEGRALES DEL ORIENTE SAS,Compra de mercancia,3626000,688940.0,90650.0,35027.16,4189262.84,PAGADA
FE94964,05/02/2026,811004321,  PAPELERIA CENTRAL SAS  ,Compra de mercancia,3384000,642960.0,84600.0,32689.44,3909670.56,PENDIENTE
